# build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
# Started at Tue Aug  2 15:57:57 BRT 2016
#
build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5681
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 987, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 988, low count 61
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 997, low count 54
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1020, low count 45
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1028, low count 48
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1032, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1053, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1059, low count 71
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1073, low count 50
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1094, low count 81
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1095, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1101, low count 84
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1117, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1123, low count 73
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1134, low count 77
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1135, low count 65
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1146, low count 80
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1150, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1151, low count 57
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1155, low count 86
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1166, low count 73
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1174, low count 52
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1180, low count 71
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1193, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1204, low count 68
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1207, low count 57
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1210, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1218, low count 87
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1220, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1224, low count 99
