# build-tree --verbose=1 --max-leaves=2000 --cluster-thresh=-1 exp/tri1/treeacc data/lang/phones/roots.int exp/tri1/questions.qst data/lang/topo exp/tri1/tree 
# Started at Tue Aug  2 15:50:52 BRT 2016
#
build-tree --verbose=1 --max-leaves=2000 --cluster-thresh=-1 exp/tri1/treeacc data/lang/phones/roots.int exp/tri1/questions.qst data/lang/topo exp/tri1/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5816
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 773, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 777, low count 30
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 778, low count 91
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 827, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 838, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 853, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 871, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 878, low count 57
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 882, low count 69
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 903, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 939, low count 19
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 945, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 953, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1001, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1008, low count 73
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1018, low count 64
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1031, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1038, low count 80
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1041, low count 25
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1044, low count 57
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1077, low count 63
